RK,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
1,Ashton Jeanty (LV),RB1,21,1,1,1,0,0
2,Omarion Hampton (LAC),RB2,22,2,4,2.3,0.6,0
3,Travis Hunter (JAC),WR1,22,3,5,3.8,0.7,1
4,Tetairoa McMillan (CAR),WR2,22,2,7,3.9,1.4,-1
5,TreVeyon Henderson (NE),RB3,22,4,11,6.7,2.4,0
6,Quinshon Judkins (CLE),RB4,21,5,10,6.9,1.3,1
7,Colston Loveland (CHI),TE1,21,5,12,7.9,2.1,10
8,Emeka Egbuka (TB),WR3,22,4,13,8.3,2.3,2
9,Kaleb Johnson (PIT),RB5,21,5,12,9.4,2.1,-1
10,Tyler Warren (IND),TE2,23,7,12,9.4,1.7,3
11,RJ Harvey (DEN),RB6,24,7,18,11.1,3.1,-5
12,Matthew Golden (GB),WR4,21,8,15,12.1,2.7,-3
13,Luther Burden III (CHI),WR5,21,7,16,12.4,2.6,3
14,Cameron Ward (TEN),QB1,23,8,19,13.6,2.9,0
15,Tre Harris (LAC),WR6,23,11,17,14.1,1.8,0
16,Jayden Higgins (HOU),WR7,22,12,17,14.8,1.9,-4
17,Cam Skattebo (NYG),RB7,23,15,23,19,2.3,-6
18,Bhayshul Tuten (JAC),RB8,23,16,25,19.8,2.7,0
19,Jack Bech (LV),WR8,22,17,25,20.2,2.6,2
20,Kyle Williams (NE),WR9,22,15,28,20.6,3.9,-1
21,Jaxson Dart (NYG),QB2,22,17,27,21.7,3,3
22,Jaylin Noel (HOU),WR10,22,15,36,22.3,5.8,1
23,Mason Taylor (NYJ),TE3,21,19,35,25.4,5,-1
24,Jaydon Blue (DAL),RB9,21,21,32,26.8,4.2,-4
25,Dylan Sampson (CLE),RB10,20,22,39,28.1,4.6,1
26,Elic Ayomanor (TEN),WR11,22,23,37,28.6,4.5,10
27,Elijah Arroyo (SEA),TE4,22,24,34,28.7,3.4,6
28,Jalen Milroe (SEA),QB3,22,22,42,28.8,5.7,9
29,Jalen Royals (KC),WR12,22,23,38,29.4,5,3
30,Terrance Ferguson (LAR),TE5,22,21,43,32.5,7.6,1
31,Harold Fannin Jr. (CLE),TE6,20,28,37,33,2.5,13
32,Tyler Shough (NO),QB4,25,23,45,33.3,7.8,-7
33,Devin Neal (NO),RB11,21,28,44,34.4,5.2,-3
34,Jarquez Hunter (LAR),RB12,22,29,59,36.1,8.2,-6
35,Pat Bryant (DEN),WR13,22,27,53,36.5,7.4,-8
36,DJ Giddens (IND),RB13,21,28,48,37.2,5.7,-7
37,Tory Horton (SEA),WR14,22,33,47,39.2,5,10
38,Jordan James (SF),RB14,21,32,47,39.8,4.5,3
39,Woody Marks (HOU),RB15,24,29,50,40.8,5.9,-1
40,Trevor Etienne (CAR),RB16,20,26,52,41.2,6.9,6
41,Shedeur Sanders (CLE),QB5,23,25,59,41.5,9.9,-7
42,Ollie Gordon II (MIA),RB17,21,37,48,43.5,3.5,0
43,Tahj Brooks (CIN),RB18,23,33,58,43.8,6.4,-4
44,Brashard Smith (KC),RB19,22,36,51,44.2,4.5,-9
45,Tai Felton (MIN),WR15,22,38,56,45.4,6.6,8
46,Damien Martinez (SEA),RB20,21,31,51,45.5,5.3,8
47,Savion Williams (GB),WR16,23,36,70,45.6,9.1,4
48,Isaac TeSlaa (DET),WR17,23,31,72,46.9,13.8,-8
49,Kyle Monangai (CHI),RB21,23,34,61,47,7.5,-4
50,Will Howard (PIT),QB6,23,35,60,48,6.5,8