RK,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP,Tier,Notes
1,Ashton Jeanty,RB1,21,1,1,1,0,0,Tier 1,"I know this was the outcome that many mocked during the entire draft process, but now it is set in stone. The Raiders & Pete Carroll have their featured bellcow back. With Chip Kelly at the offensive controls, I expect Las Vegas to rank inside the top ten in rushing attempts. During Kelly's tenure in the NFL, his offenses have never ranked lower than 11th in rushing attempts. Jeanty should also see plenty of passing game involvement, with only Jakobi Meyers and Brock Bowers ahead of him in the target pecking order. During Kelly's four years as an NFL offensive coordinator, in three of those seasons, his backfields had a 16.6-17.7% target share, but he also flooded his Philly backfield with targets in 2015 (28.7%). Jeanty remains the clear 1.01 in every dynasty format."
2,Tetairoa McMillan,WR1,22,2,7,3.9,1.4,-1,Tier 1,"The Carolina Panthers selected McMillan inside the top ten in the NFL Draft, giving Bryce Young a true WR1. McMillan could be a wonderful volume hog this year in what looks to be an ascending passing offense. Last year, in Weeks 12-18, when Young was hitting his stride, the Panthers ranked 13th in neutral passing rate. We could see that number increase this year with a true number one option leading the way. Last year, during that same stretch, Young ranked eighth in CPOE, fifth in deep throw rate, 12th in highly accurate throw rate, and second in hero throw rate (per Fantasy Points Data). McMillian is in play as high as the 1.02 in dynasty rookie drafts (regardless of format)."
3,Omarion Hampton,RB2,22,2,4,2.3,0.6,0,Tier 1,"Hampton lands in Los Angeles with first-round draft capital attached to his name. While I know that Najee Harris is already on this roster, I'm not worried about Hampton establishing himself as the team's workhorse in short order. Harris was signed to a cheap one-year deal this offseason to give the Bolts a trusted running back to carry the load in case they missed out on a running back early in the draft. Well, Hampton dropped into the Chargers' lap, and they were unable to pass on him. In Greg Roman's 11 years of coordinating NFL offenses, he's never finished lower than 11th in rushing attempts (last year). Hampton is in the conversation as soon as the 1.02 in dynasty rookie drafts, regardless of format."
4,Travis Hunter,WR2,22,3,5,3.8,0.7,1,Tier 1,"The Jaguars paid a hefty price, but they got their guy in Travis Hunter. The Jags have stated that Hunter will begin his NFL career with the main focus being on the offensive side of the ball, which makes sense. It's not impossible but improbable that a team would make an aggressive move of this magnitude for a full-time cornerback. Hunter looks to be a full-time wide receiver with TBD status next to his corner usage. Evaluating Hunter as a wide receiver only makes him a top-five pick in every dynasty rookie draft, regardless of format. Hunter still has some substantial growth to make as a wide receiver, but he's in good hands with Liam Coen and company. I'm curious how much slot usage Hunter will get in year 1, but I'm guessing it could be at least 40-50% of his snaps. This will be immensely helpful for a player that last year (among all FBS wide receivers with at least eight slot targets) ranked fourth in slot yards per route run (per PFF)."
5,RJ Harvey,RB3,24,7,18,11.1,3.1,-5,Tier 2,"IT'S R.J. HARVEY'S WORLD & WE'RE ALL JUST LIVING IN IT! I couldn't be happier for Harvey and the Broncos. This is a wonderful pairing of situation and talent. Harvey and his second-round NFL draft capital land in a backfield where his only direct competition is Audrice Estime and Jaleel McLaughlin. Before the NFL Draft, Harvey was my RB5 of this class, but now, after the conclusion of the draft, he has risen to my RB3. I'm sky-high about his prospects and will be heavily overweight in the rookie draft season. It's hard not to love a player that ranked inside the top 20 among FBS running backs in each of the last two seasons in breakaway percentage and elusive rating (per PFF). Add in Sean Payton's running back usage, and Harvey looks primed to smash. Over the last two years, Payton has ranked fifth and first in running back target share. Harvey is in play as high as the 1.05 in every dynasty format. He's currently my 1.07 in super flex rookie rankings."
6,TreVeyon Henderson,RB4,22,4,11,6.7,2.4,0,Tier 2,"Henderson didn't get the first-round draft capital that we all hoped for, but he landed in the second round with the New England Patriots, so it's not all doom and gloom. Henderson will compete with Rhamondre Stevenson immediately for touches. The big question that remains unanswered for Henderson is what his weekly volume will look like in the NFL. Will he be a three-down workhorse? Is he destined to be a passing down back that works in on early downs amounting to 9-12 touches weekly? That's an unknown, but what we do know is that Henderson has the juice to make the most of whatever work comes his way, and his running mate (Stevenson) is an inefficient runner inherited from the previous regime. Last year, Henderson ranked seventh in yards after contact per attempt, tenth in breakaway percentage, and 22nd in receiving grade (per PFF)."
7,Tyler Warren,TE1,23,7,12,9.4,1.7,3,Tier 2,"Warren got the ballyhooed first-round draft capital that we all figured he would. The landing spot is rough, though. Indy has a ton of talented pass-catching options that will push Warren weekly for target volume. Michael Pittman and Josh Downs presumably will be above him in the target pecking order. I still love Warren as a player, but I'm worried that after year one, he won't just become the sexy buy-low for 2026. The passing volume, quarterback play, and receiving depth chart are all big-time concerns for his 2025 outlook. Last year, Indy had the third-lowest passing rate inside the red zone and in neutral game environments. I'm not fading Warren in dynasty rookie drafts, but I'm just saying temper your expectations for his rookie season. Warren is a top-ten selection in dynasty rookie drafts. Bet on talent, as situations can change quickly."
8,Colston Loveland,TE2,21,5,12,7.9,2.1,10,Tier 2,"Loveland surprised some in the NFL Draft as the first tight end off the board. I'm not shocked by it, but I did think Warren would hear his name called first. Loveland's top ten first-round capital is notable. Ben Johnson seemingly got his Sam LaPorta. I don't think Loveland is on the same talent plane as LaPorta, and I don't mean that as shade, but their skill sets are different. Loveland has stellar per-route efficiency and the route running chops to match, but he isn't the same mauler after the catch, with only eight missed tackles forced in his collegiate career (per PFF). I worry a tiny bit about Loveland's weekly route share with Cole Kmet, who is still on this roster. Loveland should be the Week 1 starter, but don't be shocked if Kmet can be enough of a thorn in his side (ala Dawson Knox) to hurt his ceiling and floor in 2025. I also haven't even mentioned a crowded target hierarchy for this season with D.J. Moore, Rome Odunze, D'Andre Swift, and Luther Burden on the roster and Caleb Williams' worrisome 2024 play. In dynasty, we're still betting on Loveland's talent, a solid landing spot, and draft capital winning out. Loveland is a top-ten selection in dynasty rookie drafts, regardless of format."
9,Kaleb Johnson,RB5,21,5,12,9.4,2.1,-1,Tier 2,"After Johnson was maligned after the combine for his ""slow"" 40-yard dash time, the fantasy community seemingly was turned off by him. I never waivered in my love for Johnson, and now we'll see some capitulation from those who were fading him after the Steelers selected him in the third round of the NFL Draft. Johnson is a perfect fit for the Steelers' run scheme, and he should be considered the early favorite to gobble up volume on the ground. Jaylen Warren remains on the roster and will prominently factor in, but Johnson has the raw talent to seize more of the work in this backfield, unlike Najee Harris could ever do. I know that's saying a lot for Johnson after Harris handled 299 touches last year, but the upside is there. Johnson has an explosive play element to his game that Harris never has after ranking fifth in breakaway percentage last year (per PFF). Johnson is a late first-round pick in dynasty rookie drafts."
10,Tre Harris,WR3,23,11,17,14.1,1.8,0,Tier 3,"Harris, the soul-snatching route savant, lands with the Bolts in the second round of the NFL Draft and should quickly become Justin Herbert's trusted second option in the passing game opposite Ladd McConkey. Yes, Harris will have to hop either Mike Williams or Quentin Johnston to crack the starting lineup, but I'm not worried about his ability to do so. We're discussing a player who has ranked first and ninth in yards per route run over the last two years, stacked up against arguably a former first-round bust and a veteran who looked like he was running on empty last year (per PFF). The Chargers are looked at as a run-heavy team, but that isn't necessarily true and might not be in 2025. Last year, after Week 7, the Bolts ranked 11th in neutral passing rate and seventh in pass rate over expectation (per Fantasy Points Data). Harris sits atop my Tier 3 of rookies and should be considered a borderline first-round rookie draft selection. Yes, I know I'm aggressively above consensus depending on which ADP of other ranking set you're looking at, but I want to be with a player who was my WR2 predraft and is my WR3 post-draft with the new addition of Travis Hunter in my wide receiver rankings. Harris is set to smash in his rookie season."
11,Emeka Egbuka,WR4,22,4,13,8.3,2.3,2,Tier 3,"Egbuka is this year's Jaxon Smith-Njigba or Rome Odunze. The talented first-round selection in the NFL draft finds himself in a squeeze for target volume immediately with Mike Evans and Chris Godwin. Yes, Godwin is coming off another major injury that could help boost Egbuka's prospects, but Evans didn't show any fall-off last year. I also haven't mentioned Jalen McMillan, who broke out down the stretch last season. Last year, among 112 qualifying wideouts, Evans ranked second in separation score and route win rate (per Fantasy Points Data). Egbuka's skillset also has some considerable overlap with Chris Godwin. All of these factors muddy the picture for Egbuka in 2025. Evans is an unrestricted free agent in 2026, and while many think he'll be out the door after 2025, I don't necessarily believe that will be true. The career Buc still looks to be at the height of his powers despite his advancing age, and if he has another similarly productive season and wants to keep playing, you better believe that Tampa Bay will retain his services so he will retire a Buccaneer. This could remain a crowded wide receiver room in 2026 and maybe even 2027. While I'm worried about Egbuka, he remains a talented wide receiver with significant first-round NFL draft capital and a strong analytical profile. He's a borderline first-round rookie draft selection that will fluctuate in ADP from league to league."
12,Jayden Higgins,WR5,22,12,17,14.8,1.9,-4,Tier 3,"Higgins got the capital I was hoping for as the fifth wide receiver selected in the NFL Draft at the top of the second round. Higgins should immediately file in as the starting outside receiver opposite Nico Collins. Higgins was an underrated player during the entire draft process after ranking 27th and 16th in yards per route run and first and 18th in receiving grade during his final two collegiate seasons (per PFF). The addition of Higgins and fellow former Iowa State wide receiver Jaylin Noel should push Christian Kirk while also hopefully fueling a big bounce-back season for C.J. Stroud. With Tank Dell likely out for the entire 2025 season, Higgins has a clear path to playing time and should be selected no later than the mid-second round of dynasty rookie drafts."
13,Quinshon Judkins,RB6,21,5,10,6.9,1.3,1,Tier 3,"Judkins got the draft capital and clear runway for volume that many had hoped for with his transition to the NFL. The Browns took him early in the second round of the NFL Draft. Judkins should be considered the easy favorite to lead the backfield in touches in 2025. I wasn't the biggest Judkins fan during this draft process, but one skill that I can't dispute is his ability to handle volume as a back that an offense can lean on. He averaged 246 carries across his three years in college. During Kevin Stefanski's five-year tenure in Cleveland, his offense finished outside of the top nine teams in rushing attempts only once (2024). I think Stefanski rectifies that abrupt change and gets back to running the rock in 2025 with Judkins spearheading the ground game. The conversation for drafting Judkins begins in the late first round of rookie drafts."
14,Matthew Golden,WR6,21,8,15,12.1,2.7,-3,Tier 3,"Well, Golden got the draft capital alley-oop as the Packers bucked their previous trend and sent the card to the podium in the first round of the NFL Draft. I'll lead this off by saying I'm lower than consensus regarding Golden. With the selection of Golden and then the team following that up by selecting Savion Williams (round 3) later in the NFL Draft, I don't think Golden will be the team's ""true WR1."" Those correlated moves speak more to Green Bay continuing their wide receiver-by-committee approach. Even if they don't and the team seeks to run more of the offense through Golden, I don't know if he has the high-end target-drawing ability to reward their faith. Golden finished his collegiate career with an 18.7% target per route run rate and 1.85 yards per route run (per PFF). Neither of those metrics screams ""future alpha WR1"" in the NFL. Despite my pessimism, Golden's draft capital alone necessitates that he be selected in the early to mid-second round of dynasty rookie drafts."
15,Jaxson Dart,QB1,22,17,27,21.7,3,3,Tier 4,"Well, it happened. Jaxson Dart got first-round NFL draft capital. In the end, only Dart and Cam Ward walk away with first-round draft capital, and they stand alone in their own tier in this rookie draft class. I know Ward was selected as the first overall pick, and Dart didn't arrive in New York until the 25th selection, but Dart is now my QB1 for this class. I have had him above Ward during the entire NFL draft cycle. I love his combination of arm talent and rushing upside. He's currently the 1.07 in our Superflex rookie ECR. Dart should be a locked-in first-round rookie draft pick. The conversation for me with Dart begins at the 1.05. In 1QB, the Dart conversation begins in the early second round of rookie drafts. I expect to see him start games sometime during the 2025 season. Russell Wilson's play and Dart's progression in training camp and the preseason will determine how early that is."
16,Cameron Ward,QB2,23,8,19,13.6,2.9,0,Tier 4,"Well, there was no surprise at the top of the draft. No, last-minute shifting of the pick or drama. Tennessee zeroed in on Cam Ward, and he's now the face of the franchise moving forward. Ward walks the highwire from down to down. There are plenty of high-end moments and special plays, but Ward also has plenty of misfires and can run through cold stretches in games. If he hits his ceiling, he could be a franchise-changing player who becomes a yearly QB1. This cements him as a top-six pick in Superflex dynasty rookie drafts and as a mid-second-round pick in 1QB formats at the latest. The big worries for Ward entering year one are the lack of proven or high-end receiving talent outside of Calvin Ridley and this new-look offensive line. Without rushing upside to pad his fantasy stats weekly, can Ward produce enough with his arm, with Ridley leading the way to be a steady fantasy quarterback in his rookie season? We'll see, but I'm skeptical. Selecting Ward in rookie drafts comes with immediate production from Week 1 and a floor of QB2 production. He's an upside swing that might not consistently flash that upside until 2026."
17,Jaylin Noel,WR7,22,15,36,22.3,5.8,1,Tier 4,"Noel was disrespected by the NFL as he dropped into the third round of the NFL Draft. The Houston Texans stopped his tumble and called his name with the 15th pick in the third round. I expect Noel to use this as fuel for the fire and walk into the building with a chip on his shoulder. Noel has the play strength, route prowess, and speed to play in the slot or on the outside. He could struggle to find playing time in his rookie season with Nico Collins, Christian Kirk, and his former collegiate teammate Jayden Higgins all sitting above him on the depth chart. Collins and Kirk have had their injury issues over the last few years, so it's easily possible that Noel will be starting by midseason. While Noel's short-term playing time is up in the air, he has the talent to exceed expectations. If there was ever a time to bet on talent over situation and landing spot, IT'S NOW with Noel. He has the goods. Last year, Noel ranked in the top 30 in receiving grade and yards per route run while sitting second in deep receiving yards among FBS wide receivers (per PFF). Noel has been consistently falling to the tail end of the second-round or the top of the third-round in rookie dynasty drafts. He's my 17th overall player in 1QB and Superflex rankings. While you might not have to draft him that high, that's the time when you should start surveying the draft board and plan out when or how you'll get into position to draft Noel."
18,Jack Bech,WR8,22,17,25,20.2,2.6,2,Tier 4,"Bech heard his name called during the NFL Draft earlier than many expected. The Raiders selected him with the 26th pick in the second round. Bech enters the building with the ability to push Jakobi Meyers for the WR2 role on the team behind Brock Bowers. He should be a starter immediately, with only those two players to compete with for a hefty target share. Geno Smith will love the route running, tenacity, and sure hands (fourth in contested catch rate, minimum 20 contested targets) that Bech brings to the table. In his final season in college, Bech ranked 17th in receiving grade and 22nd in missed tackles forced (per PFF). The former tight-end plays with a physicality and passion that is infectious. Bech is a mid-second-round pick in dynasty rookie drafts."
19,Luther Burden III,WR9,21,7,16,12.4,2.6,3,Tier 4,"The manufactured touch king of Missouri heads to the Chicago Bears via the second round of the NFL Draft. The Ben Johnson faith and steam will give Burden a high floor in dynasty rookie drafts despite the muddly path to significant targets in his rookie season. Chicago did this last year with Rome Odunze as they tossed him into a crowded target tree, and it didn't work out. Burden faces a similar hurdle with Odunze, D.J. Moore, and possibly Colston Loveland ahead of him in the hierarchy. I also didn't even mention Cole Kmet or D'Andre Swift. Burden enjoyed a ton of schemed and easy looks in college as he wasn't asked to just line up every down and route guys up. It's tough to see Burden finding his way to high-end fantasy relevance in 2025 if everyone stays healthy. He's more of a long-term play in dynasty as you invest in what we hope to be a much-improved version of the Bears offense and Caleb Williams moving forward. Burden is a mid-second-round pick in dynasty rookie drafts."
20,Bhayshul Tuten,RB7,23,16,25,19.8,2.7,0,Tier 4,"Jacksonville added to their backfield with the selection of Tuten in the fourth round of the NFL Draft. Travis Etienne is gone after this year, and Tank Bigsby has only two years left on his rookie deal. Tuten could easily be the future of the Jags' rushing attack. The combine superhero posted strong tackling breaking numbers over the last two years, ranking top-ten in elusive rating in each season (per PFF). He was also tenth in yards after contact per attempt and breakaway percentage last season. It doesn't take much effort to see that Tuten could be this year's Bucky Irving, but it also wouldn't surprise me if Etienne and Bigsby do just enough to hold him off this season, and the true breakout isn't until 2026. Tuten is a late second-round home run swing in dynasty rookie drafts."
21,Elijah Arroyo,TE3,22,24,34,28.7,3.4,6,Tier 4,"Arroyo is headed to Seattle after the team called his name in the second round of the NFL Draft. The former Miami Hurricane is an athletic mismatch weapon who will push Noah Fant for snaps from the jump if his blocking is up to snuff. Fant is an unrestricted free agent after this season, so while the outlook for 2025 has its worries, it should be wheels up for Arroyo in 2026. If Copper Kupp also proves in 2025 that he doesn't have much left in the tank, Kupp could be gone, which would leave Arroyo as the second target in the passing attack behind only Jaxon Smith-Njigba. In his final season in college, Arroyo ranked 23rd in yards per route run and second in yards after the catch per reception among tight ends (minimum 20 targets, per PFF). Arroyo is a late second-round selection in dynasty rookie drafts that will occasionally fall into the third round."
22,Terrance Ferguson,TE4,22,21,43,32.5,7.6,1,Tier 4,"The Rams now have their heir apparent to Tyler Higbee. Higbee is a free agent after this season. I expect Ferguson to get his feet wet in his rookie season and assume the starting role in 2026. At tight end, high-end athleticism is so highly correlated to high-end production. Ferguson checks that box emphatically with a 9.32 RAS score, a 4.63 40-yard dash, and 91st percentile or higher marks in the vertical and broad jumps. Last year, Ferguson also crushed it in nearly every efficiency metric I can find, ranking 14th in yards per route run and receiving grade, third in yards after the catch per reception, and 22nd in missed tackles forced (per PFF)."
23,Harold Fannin Jr.,TE5,20,28,37,33,2.5,13,Tier 4,"Fannin Jr. received strong draft capital for a tight end (third round) when the Browns selected him as the heir apparent to David Njouku, who will become an unrestricted free agent after this season. Fannin Jr.'s raw athleticism might keep him from ever becoming a truly elite option in fantasy, but he now has a path, the athletic juice, and receiving chops to become Zach Ertz 2.0. Fannin Jr. ranked first and third in yards per route run and first and fifth in missed tackles forced over the last two collegiate seasons (per PFF). Fannin Jr. is a late second-round rookie draft pick who will fall into the third round in some leagues. He's an auto pick in that range and could likely go higher in tight-end premium leagues."
24,Jarquez Hunter,RB8,22,29,59,36.1,8.2,-6,Tier 4,"Hunter is arbitrage Bhayshul Tuten in rookie drafts. Hunter, much like Tuten, is headed to the NFL (Rams) via the fourth round of the NFL draft. Also, like Tuten, Hunter finds himself possibly buried for 2025 behind two veterans, but he also possesses the talent and pathway to surpass one or maybe both of them in the running back pecking order. Kyren Williams is a free agent after this season. The Rams thought so much of Blake Corum's rookie season that they addressed running back again this year. Hunter isn't the same caliber of athlete as Tuten (7.1 RAS), but he did run a 4.44 40-yard dash and finished his collegiate career with an impressive tackle-breaking resume. Hunter has ranked inside the top 24 in yards after contact per attempt in each of the last three seasons while also sitting in the top 22 in breakaway percentage in two of three years (per PFF). Hunter offers the Rams an explosive element that neither Williams nor Corum has. Last year, among 46 qualifying backs, Williams ranked 44th in explosive run rate, 37th in missed tackles forced per attempt, and 40th in yards after contact per attempt (per FantasyPointsData). Hunter is the best running back value on the board in dynasty rookie drafts. He's consistently available in the third round of dynasty rookie drafts and will occasionally fall into the fourth round. At the end of the second round, I'm looking at the board and figuring out where which pick I need to acquire to secure his services safely."
