RK,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP,Tier,Notes
52,Gunnar Helm,TE8,,,,,,,Tier 4,"Helm concluded his collegiate career with a productive final season at Texas. He ranked 27th in yards per route run, 23rd in receiving grade, third in yards after the catch, and sixth in missed tackles forced. He destroyed his ankle at the NFL combine and continued testing anyway, which led to some horrid numbers. It's safe to say that I don't think Helm is an elite-tier athlete, but we can chuck those numbers in the trash. The Titans added him in the fourth round of the draft as they were shopping in the skill player bargain bin. Helm could be the team's Week 1 starter, as Chig Okonkwo isn't someone to really worry about holding him off. Helm could develop into a solid/top-15 fantasy type of tight end if everything breaks right for him. Add him to your taxi squads, and let's see what happens."
53,Tory Horton,WR20,22,33,47,39.2,5,10,Tier 4,"Seattle called Horton's name in the fifth round of the NFL Draft. The big, galloping physical receiver could push Marquez Valdes-Scantling this season to be the WR3 for the passing attack. Horton has the raw talent to do so after posting 3.45 yards per route run last year (per PFF). He ranked 43rd and 22nd in the same statistical category in the two previous seasons. Horton is a triple-level threat with the play strength to break tackles (2023: 16th in missed tackles forced). Depending on how many rounds your rookie draft is, Horton enters consideration for dynasty squads in the fourth round, but you could also use a final round selection depending on how many rounds your draft covers."
54,Mitchell Evans,TE9,,,,,,,Tier 4,"The Panthers selected the Notre Dame alum in the fifth round of the NFL Draft. He walks into a crowded tight end room with Tommy Tremble and Ja'Tavion Sanders sitting atop the depth chart. Evans is a better all-around option than either of them. Evans recorded solid blocking scores during his time at Notre Dame and excelled as a receiver. Evans wasn't nearly the same in 2024 as he recovered from a torn ACL. When he was operating at the height of his powers in 2022, he ranked sixth in yards per route run and seventh in receiving grade (per PFF). He's not a top-shelf athlete, so the upside is ultimately capped for him in fantasy circles, even if he can secure the full-time role. That doesn't mean that he can't develop in a TE2 with top-15 upside if it all comes together. Pick him up off waivers and stash him."
55,Ollie Gordon IIO. Gordon II,RB20,21,37,48,43.5,3.5,0,Tier 4,"The big, bruising back out of Oklahoma State was selected by the Dolphins in the sixth round of the NFL Draft. He's currently the RB4 on the depth chart behind Jaylen Wright and Alexander Mattison. He could hop both of them by the end of the season if he can regain his 2023 form. Gordon had a disappointing 2024 season, but the year prior, he ranked 39th in yards after contact per attempt and seventh in breakaway percentage (per PFF). I'm not immensely high on Gordon. He's at the bottom of a long tier of taxi squad stash backs. If I can add him to a dynasty roster for cheap, that would be fine, but I'm not bidding aggressively with FAAB to do so."
56,Jordan James,RB21,21,32,47,39.8,4.5,3,Tier 4,"The 49ers selected James in the fifth round of the NFL Draft. He'll likely begin the year as the team's RB3 with the opportunity to push Isaac Guerendo for the backup job behind Christian McCaffrey. Jordan Mason and Guerendo proved last year that being a solid backup for the 49ers can be fruitful if injuries strike, so for this reason, he's worth a stash on taxi squads. I'm not exceptionally high on him as a prospect, though. Last year, James ranked outside the top 65 FBS running backs in yards after contact per attempt (107th), breakaway percentage (151st), and elusive rating (68th, per PFF)."
57,Marcus Yarns,RB22,,,,,,,Tier 4,"Yarns was a predraft love list player for me. Sadly, he didn't get selected in the NFL Draft. He did sign as a UDFA with the New Orleans Saints. The Saints have a stocked running back room, especially after adding Devin Neal in the sixth round to a depth chart that already included Alvin Kamara, Kendre Miller, Clyde Edwards-Helaire, and Jordan Mims. The hope for Yarns is that he can beat out Mims for the RB4 job on this team. Yarns is a pass-game weapon with three-down upside. Last year, he ranked 22nd in yards after contact per attempt and 19th in yards per route run (per PFF). I'll stash him on as many taxi squads as possible and see how things play out."
58,Thomas Fidone IIT. Fidone II,TE10,,,,,,,Tier 4,"Fidone is one of my favorite taxi squad stash candidates. He'll go undrafted in plenty of leagues. His film was quite intriguing, but his counting stats and analytical profile aren't nearly as impressive. If you're taking shots on highly athletic tight ends (as you should be), Fidone should be on your list. He had a 9.49 RAS score while posting 81st percentile or higher marks in the 40-yard dash, vertical jump, broad jump, short shuttle, and 3-cone. The Giants selected him in the seventh round of the NFL Draft. Fidone is currently the TE5 on the depth chart, but don't be surprised if he can work his way into the TE2/3 conversation on the Giants roster by the end of the season. The Giants have taken plenty of stabs at this type of profile over the last few years (Theo Johnson, Daniel Bellinger) without any of them having massive breakouts. Fidone could finally be the hit at the tight-end position that they have been looking for."
59,Elijhah Badger,WR21,,,,,,,Tier 4,"Prior to the NFL Draft, Badger was one of my favorite underrated players. Unfortunately, the NFL didn't share my admiration for his skill set. He wasn't selected in the NFL Draft and subsequently signed a UDFA deal with the Chiefs. Badger has a mountain to climb to find fantasy relevance, but based on talent alone, he's worth adding to your taxi squads if you have the room. Last year, Badger ranked 14th in yards per route run and yards per route run against man coverage (per PFF)."
60,Damien Martinez,RB23,21,31,51,45.5,5.3,8,Tier 4,"The rugged tackle-breaking former Miami Hurricane was selected by the Seattle Seahawks in the seventh round of the NFL Draft. Martinez could easily hop former seventh-round pick Kenny McIntosh for the RB3 job for Seattle by Week 1. Last year, Martinez ranked eighth in yards after contact per attempt and 16th in elusive rating (per PFF). He's another back worth a taxi squad spot after he likely falls to waivers post-rookie draft. If you feel the need or want to make sure that you secure his services, use your final-round pick on Martinez. Kenneth Walker is an unrestricted free agent after this season. Martinez could walk into 2026 as the RB2 on the depth chart behind only Zach Charbonnet."
61,Gavin Bartholomew,TE11,,,,,,,Tier 4,"Bartholomew took my curiosity captive during the NFL Draft process. His film and athleticism didn't make his lackluster analytical profile. He has an 8.8 RAS score, a 4.7 40-yard dash, an 89th percentile 3-cone, and 91st percentile or higher vertical and broad jumps. This type of athletic ability shows up on his film as he has good bend in his routes and displays decent ball tracking in a limited sample. Bartholomew has intriguing movement skills that give hints that another evolution of his game could occur at the next level. The Vikings selected him in the sixth round of the NFL Draft. He's currently the TE3 on the Vikings depth chart, but he could be the backup to T.J. Hockenson next year as Josh Oliver is a free agent after this season. In tight-end premium formats or deep leagues, he's worth a taxi squad spot."
62,Phil Mafah,RB24,,,,,,,Tier 4,"The Cowboys selected Mafah in the seventh round of the NFL Draft. The hulking former Clemson Tiger enters as the RB4 on the roster surrounded by washed-up veterans and Jaydon Blue. It wouldn't shock me if Mafah makes some noise this preseason by bulldozing backups, and he climbs up the depth chart. He finished his collegiate career with 3.47 yards after contact per attempt (per PFF). He's a taxi squad hero, but unless your taxi squad has plenty of room, he could only be a deep league add because of space."
63,Andrew Armstrong,WR22,,,,,,,Tier 4,"The former Arkansas standout signed a UDFA deal with the Dolphins. In his final collegiate season, he ranked 19th in yards per route run and fourth in receiving grade (per PFF). The Dolphins' receiving depth chart is filled with uninspiring names outside of Jaylen Waddle, Tyreek Hill, and possibly Malik Washington, so don't be surprised if Armstrong can ascend to the WR4/5 spot on this depth chart out of camp. If you're wide receiver needy and have the space, hide him on your taxi squad."
64,Will Howard,QB7,23,35,60,48,6.5,8,Tier 4,"The Pittsburgh Steelers selected Howard in the sixth round of the NFL Draft. With that type of draft capital, if he hits as a multi-year starter, he'll be a massive outlier. I don't usually go chasing late-day three picks in the NFL Draft at the quarterback position, especially those of the pocket passing variety. Stash him on your taxi squad in Superflex leagues if you have the space, but he's not a priority add. Last year, Howard ranked ninth in passing grade, seventh in adjusted completion rate, and fourth in yards per attempt (per PFF)."
65,Riley Leonard,QB8,,,,,,,Tier 4,"The Colts selected Leonard in the sixth round of the NFL Draft. Indy at least seems to have a type when it comes to selecting quarterbacks (Hello: Anthony Richardson and Daniel Jones). These days, they seem to covet mobile and inaccurate signal callers. The rushing upside with Leonard is enticing, but the draft capital and accuracy issues are damning. I'll let others waste a roster spot for the 2025 season on Leonard before likely cutting him from their squads after the season. Last year, Leonard ranked outside the top 45 quarterbacks in FBS in passing grade, yards per attempt, and big-time throw rate (per PFF)."
66,Kyle McCord,QB9,,,,,,,Tier 4,"The Eagles selected the heavy-footed pocket passer out of Syracuse in the sixth round of the NFL Draft. McCord will compete with Doran Thompson-Robinson for the QB3 job in camp. Even if he wins that battle, McCord is best left on waiver wires. I'm not investing a dynasty roster spot in a pocket passer who didn't get sizable draft capital or have even a discernable path to a possible starting job in the next two seasons."
67,Kurtis Rourke,QB10,,,,,,,Tier 4,"The 49ers drafted Rourke in the seventh round. I don't have much interest in the pocket passer. His numbers last year were decent, as he ranked fourth in passing grade and seventh in yards per attempt, but his accuracy numbers are lagging in some areas, sitting at 37th in adjusted completion rate and 24th in big-time throw rate (per PFF). If I take a shot at who could win the 49ers' QB3 battle, it'll be Tanner Mordecai."
68,Quinn Ewers,QB11,,26,80,54.1,11.3,,Tier 4,I don't have any interest in rostering Ewers in any dynasty format. He capped a disappointing collegiate career by getting selected in the seventh round of the NFL Draft by the Miami Dolphins. He's currently the QB3 on the roster with limited upside. He's a checkdown-oriented pocket passer.
69,KeAndre Lambert-Smith,WR23,,,,,,,Tier 4,"The former Auburn Tiger was selected in the fifth round of the NFL Draft by the Chargers. He concluded his final collegiate season with strong marks, with 7.4 yards after the catch per reception and 2.70 yards per route run (per PFF). He's currently the WR5 on the depth chart, but don't be shocked if that changes as the season moves along. If the team decides to keep trotting Quentin Johnston out there and Mike Williams breaks camp with the team, he could be stonewalled, but there's a path for him to ascend if he can show out in the preseason. It's worth holding off adding him to taxi squads right now with the idea that he could quickly added if he makes some noise in training camp and the preseason."
70,Raheim Sanders,RB25,,,,,,,Tier 4,"The rocket crashed and burned as he fell out of the NFL Draft. I figured a team would select him in the final rounds, but it didn't happen. He signed a UDFA deal with the Chargers. He'll walk into camp at the bottom of a deep depth chart on a team that just spent a first-round selection on Omarion Hampton. The best-case scenario for Sanders is that he can climb the depth chart during the season, and when Najee Harris departs after this season, he can cement himself as the RB2 for the team behind Hampton. I wasn't high on Sanders as a prospect. He's an add-to taxi squads in deeper dynasty leagues only, especially those that give a fantasy scoring nudge to carries."
71,LeQuint Allen Jr.,RB26,,,,,,,Tier 4,"The former Syracuse standout fell to the seventh round of the NFL Draft. He landed with the Jacksonville Jaguars. He could climb up the depth chart by season's end to the RB4 spot, but I don't see him hopping anyone else to get higher. Travis Etienne is likely gone after this year, which could help Allen's 2026 outlook, but he profiles as a passing down back in the NFL only and not as a true three-down guy or possible workhorse. Over the last two years, Allen hasn't ranked higher than 119th in yards after contact per attempt (per PFF). In 2024, he was fourth and first in the FBS in receiving yards and receptions among running backs. Allen is a low-end taxi squad stash with a bump in full PPR leagues."
72,Jaylin Lane,WR24,,,,,,,Tier 4,"Kliff Kingsbury can't help himself. Lane lands with the Washington Commanders via the fourth round of the NFL Draft. Lane was a speedy manufactured touch machine at Virginia Tech. Sadly, it didn't amount to much efficiency, as he was 152nd or lower in yards per route run over the last two years (per PFF). This isn't an archetype of a player that has consistently found success in the NFL. I don't have much interest in Lane in any dynasty format. Leave him hanging out on waiver wires."
73,Lan Larison,RB27,,,,,,,Tier 4,"The former UC Davis legend landed with the Patriots after signing on as a UDFA. New England is the land of misfit receiving backs. A monument, for Rex Burkhead and Danny Woodhead, resides somewhere in Foxborough. Let's see if Larison can break camp with the team before adding him to taxi squads (outside of deep leagues). If he can make the NFL roster, then I'm all in for him to be added to squads. Last year, Larison ranked third in receiving grade and sixth in yards per route run (per PFF). In 2023, he was 32nd in yards after contact per attempt and 33rd in breakaway percentage."
74,Joshua Simon,TE12,,,,,,,Tier 4,"In deeper, tight-end premium dynasty leagues, Simon is worth a taxi squad spot. He signed a UDFA deal with the Falcons after failing to be selected in the NFL Draft. Last year, he ranked 25th in yards per route run, 22nd in receiving grade, and seventh in YAC per reception (per PFF). He's an easy player to cut from your dynasty team if he fails to climb up the Atlanta depth chart."
75,Jalin Conyers,TE13,,,,,,,Tier 4,"Conyers signed a UDFA deal with the Miami Dolphins, and he slots in as their TE6 on their depth chart. We'll see if he can break camp with the team before adding him to any dynasty teams. Last year, he ranked 39th in yards per route run and 42nd in receiving grade (per PFF)."
76,Ricky White III,WR25,,36,83,51.8,10.2,,Tier 4,"Seattle drafted White in the seventh round of the NFL Draft. The former UNLV Rebel is limited athletically (4.89 RAS), which will cap his NFL ceiling despite his sterling analytical profile. Over the last two years, White has ranked 15th and second in yards per route run and 23rd and fourth in receiving grade (per PFF). Those numbers don't match up with his testing or his film. White is a deep league taxi option only. He could secure a backup role for Seattle, but I doubt he will crack the starting lineup this year unless a myriad of injuries strike the roster."
77,Nick Nash,WR26,,35,82,54.1,10.2,,Tier 4,"Atlanta signed the former power slot San Diego State standout to a UDFA deal. He's buried on the depth chart, but he could stick in a back up role with the only strong slot option above him is Jamal Agnew. He's a deep-league taxi option only. Last year, he ranked 57th in yards per route run and 21st in receiving grade (per PFF)."
78,Kalel Mullings,RB28,,,,,,,Tier 4,The Titans selected Mullings in the sixth round of the NFL Draft. he could win the RB3 job out of camp with only Julius Chestnut to hop on the depth chart. Mullings is a physical downhill thumper who ranked 55th in yards after contact per attempt and 54th in breakaway percentage last year. He's a deep dynasty league taxi squad add only (preferably with bonuses for rushing attempts).
79,Tez Johnson,WR27,,24,67,38,10.1,,Tier 4,"The Tampa Bay Buccaneers are apparently hoarding slot receivers after adding Emeka Egbuka and Tez Johnson to their wide receiver depth chart alongside Chris Godwin, Sterling Shepard, Rakim Jarrett, and Trey Palmer. The Bucs selected Johnson in the seventh round. I'll let others pick up Johnson on waivers. With this size, rough draft capital, and underwhelming athletic testing, Johnson will be the outlier of all outliers if he turns into a consistent fantasy producer. This isn't the type of profile to chase for dynasty fantasy football purposes."
80,Arian Smith,WR28,,,,,,,Tier 4,"The Jets' admiration for Smith was one of the more confusing things of the entire NFL Draft. Smith is a speedy field stretcher with big-time drop issues that ranked 126th in yards per route run and 249th in receiving grade last year (per PFF). None of that sounds like a player that should have been selected in the fourth round of the NFL Draft, but it happened. If you want to stash Smith on your taxi squad, be my guest, but I'll happily leave him on waiver wires."
81,Jamaal Pritchett,WR29,,,,,,,Tier 4,"The former South Alabama slot dynamo signed a UDFA deal with the Jets. Prichett was a manufactured touch machine during his final collegiate season, ranking fourth in yards per route run and sixth in receiving grade (per PFF). The biggest obstacle to Prichett making the team and being a viable taxi squad add is that New York already has plenty of players with this same skillset on the roster with Xavier Gipson and Malachi Corley. Prichett is best left on dynasty waiver wires for now."
82,Luke Lachey,TE14,,,,,,,Tier 4,Lachey entered the NFL via the seventh round of the NFL Draft as the Houston Texans selected him. Lachey is currently the TE4 or TE5 on their depth chart. His 4.85 40-yard dash is an auto-disqualifier for fantasy purposes. I can name the fantasy tight ends over the last 10-15 years that have found even marginal fantasy success with that slow of a 40 time on one hand. I won't be betting on Lachey to reverse this trend.
83,Jimmy Horn Jr.,WR30,,,,,,,Tier 4,"The former Colorado starting slot receiver landed with the Carolina Panthers. They selected him in the sixth round of the NFL Draft. Horn's less-than-inspiring draft capital, his slot-confined skill set, and his collegiate career 1.55 yards per route run leave him as a prospect that I have zero interest in stashing in dynasty."
84,Xavier Restrepo,WR31,,17,71,34.5,11.1,,Tier 4,"Restrepo signed a UDFA deal with the Tennessee Titans to reunite with his college quarterback, Cam Ward. It's a nice story, but I won't be rostering the turtle slow slot receiver in dynasty. A 4.83 40-yard dash will remove any tight end from my fantasy radar, much less a 5'9"" slot receiver."
85,LaJohntay Wester,WR32,,,,,,,Tier 4,"Wester landed with the Baltimore Ravens via the sixth round of the NFL Draft. He could earn the backup slot role if he has a strong camp, but for a team that loves 12 and 21 personnel, that role has a very limited ceiling, as Nelson Agholor and Devin Duvernay before him can attest to. Wester failed to surpass 2.0 yards per route run in four of his five collegiate seasons (per PFF). When you combine the situation, analytical profile, and lack of draft capital, Wester is a player best left on dynasty waiver wires."
86,Beaux Collins,WR33,,,,,,,Tier 4,"The former member of the Fighting Irish isn't someone I'm going to look to roster in dynasty. His analytical profile was tough to get excited about after ranking 219th in yards per route run and 246th in receiving grade last year (per PFF). Now, add in that he was one of six receivers signed to UDFA contracts with the New York Giants, and it's tough to see him breaking camp with the team."
87,Donovan Edwards,RB29,,,,,,,Tier 4,"Donovan Edwards signed a UDFA deal with the New York Jets. I had Edwards buried in my rankings during the entire process. As the current RB6 on the depth chart, I still have no interest in rostering him in dynasty. Even if Breece Hall were traded before Week 1, I don't foresee Edwards cracking the starting lineup even in a change-of-pace role."
88,Kaden Prather,WR34,,,,,,,Tier 4,"The Bills drafted Prather in the seventh round. The Bills' pass-catching committee approach isn't something I want to invest in. It's too tough to determine where the targets are going on a weekly basis in this passing attack. That's even assuming that Prather could crack the team's starting lineup. Last year, Prather ranked 240th in yards per route run and 222nd in receiving grade (per PFF)."
89,Corey Kiner,RB30,,,,,,,Tier 4,"The 49ers had fun adding another short, squatty back in the draft before Kiner (Jordan James). Kiner was signed as a UDFA after his final season at Cincinnati, ranking 17th in yards after contact per attempt, 28th in breakaway percentage, and fourth in elusive rating (per PFF). I'm not investing in Kiner currently, as he is the RB6 on the 49ers' depth chart. He's more likely a cut candidate in camp and snuck onto the practice squad than an active roster member. If he starts making noise in the preseason, I'll reverse course in deeper leagues."
90,Brady Cook,QB12,,,,,,,Tier 4,"Cook's rushing ability will entice some to roster him on a Superflext taxi squad, but I don't have any interest. While Cook can make plays with his legs, he struggles at times to do so with his arm. Last year, he ranked only 42nd in passing grade and 79th in adjusted completion rate (per PFF). As the QB4 on the roster, he's likely a cut candidate and practice squad addition."
91,Da'Quan Felton,WR35,,,,,,,Tier 4,"I have to leave Felton on the waiver wire. Felton is one of six wide receivers signed to UDFA deals for camp with the New York Giants, so there's plenty of competition here. It's also tough for me to get bullish about his prospects of making the final roster after ranking 217th in yards per route run and 255th in receiving grade last year."
92,Jake Briningstool,TE15,,,,,,,Tier 4,"I don't have any interest in rostering Briningstool. He was signed to a UDFA deal by the Chiefs. He's currently the TE5 on the roster behind four veterans who will all likely make the team ahead of him, and they could only keep three tight ends on the active roster. I hope he latches on with another team, but I'm going to just monitor his situation from afar."
93,Roc Taylor,WR36,,,,,,,Tier 4,"Taylor isn't someone I'm looking to roster in dynasty. He signed a UDFA deal with the Steelers, who currently have 11 wide receivers in camp. With nine of those being veterans, I doubt he will make the final active roster. The Steelers just added veteran Robert Woods, who will be guaranteed a spot behind George Pickens and D.K. Metcalf."
94,Konata Mumpfield,WR37,,,,,,,Tier 4,"Despite my success with previous late-round wide receivers with the Rams, I don't have any interest in rostering Mumpfield in dynasty. He finished his collegiate career with only 1.71 yards per route run and 4.4 yards after the catch per reception. His 6.35 RAS score also doesn't help his case any."
95,Moliki Matavao,TE16,,,,,,,Tier 4,Matavao and his 4.81 40-yard dash are above the threshold of fantasy football viability. He's off my taxi squad stash list.
96,CJ Dippre,TE17,,,,,,,Tier 4,"Dippre will be a better real-life NFL player than a fantasy football option. He profiles as an inline TE2 for a roster. While he is athletic (9.1 RAS), he ranked only 62nd in yards per route run and 101st in receiving grade last year (per PFF). Leave him on waiver wires."
97,Jackson Hawes,TE18,,,,,,,Tier 4,"Hawes won't be a viable fantasy option unless you play in a point-per-pancake league. He's a devastating blocker, but he ranked only 97th in yards per route run last year (per PFF). Bills fans will love him more than Fantasy GMs."
98,Montrell Johnson Jr.,RB31,,,,,,,Tier 4,"Johnson Jr. isn't worth rostering at the moment. He signed a UDFA deal with Philly, and currently, he's sitting at RB6/7 on the depth chart. If the Eagles decide to carry four backs on the roster, it's likely Barkley, A.J. Dillon, Will Shipley, and Tyrion Davis-Price. Last year, Johnson Jr. ranked only 94th in yards after contact per attempt and 61st in elusive rating (per PFF)."
99,Ja'Corey Brooks,WR38,,,,,,,Tier 4,
100,Isaiah Bond,WR39,,17,55,31.7,10.2,,Tier 4,
